initiative_name,description,category,type,amount,participants,source,evidence_level,pillar,reporting_period,provider,budget_class,hours,coverage
Formazione Antincendio Obbligatoria,Corso antincendio obbligatorio ai sensi del D.Lgs 81/08 per tutti gli addetti,Sicurezza obbligatoria,Corso antincendio,4500,20,Invoice / Consuntivo,L3,LIFE,2026-Q1,Safety First S.r.l.,compliance_hse,8,100
Sorveglianza Sanitaria Obbligatoria,Sorveglianza sanitaria annuale obbligatoria per tutti i dipendenti D.Lgs 81,Sicurezza obbligatoria,Sorveglianza sanitaria,2800,25,Invoice / Consuntivo,L3,LIFE,2026-Q1,Medico Competente S.r.l.,compliance_hse,4,100
Compliance GDPR Obbligatorio,Formazione obbligatoria GDPR per trattamento dati personali aziendali,Compliance legale,Corso obbligatorio,1500,30,HR declaration,L1,GROWTH,2026-Q1,Interno,compliance_legal,4,100
Modello 231 Responsabilità Amministrativa,Corso obbligatorio su responsabilità amministrativa D.Lgs 231 per tutto il personale,Compliance,Corso modello 231,1200,15,HR declaration,L1,GROWTH,2026-Q1,Interno,compliance_legal,3,100
Buoni Pasto Mensili,Ticket restaurant per dipendenti in sede erogazione mensile standard,Fringe benefit standard,Meal voucher,42000,65,Internal accounting,L2,LIFE,2026-Q1,Edenred Italia,fringe_benefit,0,100
Gift Card Natale Dipendenti,Gift card natale per tutti i dipendenti come benefit natalizio annuale,Benefit aziendale,Gift card,5500,60,Internal accounting,L1,LIFE,2026-Q1,Interno,fringe_benefit,0,100
Fringe Benefit Mensile Standard,Credito welfare standard mensile per dipendenti in busta paga,Benefit aziendale,Fringe benefit,3000,55,HR declaration,L1,LIFE,2026-Q1,Interno,fringe_benefit,0,100
Corso Upskilling Digitale Base,Percorso upskilling competenze digitali base per operatori amministrativi,Formazione base,Corso volontario,1800,5,HR declaration,L1,GROWTH,2026-Q1,Interno,hr_learning,8,100
Workshop Digital Skills,Workshop digital skills introduttive per personale non tecnico,Formazione digitale,Training interno,1200,4,HR declaration,L1,GROWTH,2026-Q1,Interno,hr_learning,4,100
Training Competenze Professionali,Training online competenze professionali base per dipendenti junior,Sviluppo professionale,Corso online,900,4,HR declaration,L1,GROWTH,2026-Q1,Piattaforma E-learning,hr_learning,6,100
Coaching Professionale Individuale,Sessioni coaching professionale individuale per supervisori e coordinatori,Sviluppo professionale,Coaching professionale,1500,3,HR declaration,L1,GROWTH,2026-Q1,Coach Esterno,hr_learning,4,100
Convenzione Palestra Aziendale,Abbonamento palestra con tariffa convenzionata per dipendenti che aderiscono,Fitness aziendale,Sport benefit,2200,6,HR declaration,L1,LIFE,2026-Q1,FitGym Center,welfare,0,100
Screening Salute Volontario,Check-up sanitari facoltativi aggiuntivi rispetto all'obbligo per il personale,Prevenzione extra,Screening salute,1400,5,HR declaration,L1,LIFE,2026-Q1,Clinica Locale,welfare,0,100
